Trend Line_x,Trend Line_y,,,series3_x,series3_y
0,-1.003531015,,,0,-1
0.72,-1.002820932,,,1,-1
1.44,-1.000692823,,,2,-1
2.16,-0.997149711,,,3,-0.99
2.88,-0.992196632,,,4,-0.98
3.6,-0.985840624,,,5,-0.97
4.32,-0.978090719,,,6,-0.96
5.04,-0.968957929,,,7,-0.94
5.76,-0.958455232,,,8,-0.92
6.48,-0.946597551,,,9,-0.9
7.2,-0.933401737,,,10,-0.87
7.92,-0.918886541,,,11,-0.84
8.64,-0.903072588,,,12,-0.81
9.36,-0.88598235,,,13,-0.78
10.08,-0.867640111,,,14,-0.75
10.8,-0.848071937,,,15,-0.71
11.52,-0.827305632,,,16,-0.67
12.24,-0.805370706,,,17,-0.63
12.96,-0.782298328,,,18,-0.59
13.68,-0.758121283,,,19,-0.55
14.4,-0.732873927,,,20,-0.5
15.12,-0.706592135,,,21,-0.46
15.84,-0.679313254,,,22,-0.41
16.56,-0.651076046,,,23,-0.36
17.28,-0.621920637,,,24,-0.31
18,-0.591888455,,,25,-0.26
18.72,-0.561022177,,,26,-0.21
19.44,-0.529365661,,,27,-0.16
20.16,-0.496963893,,,28,-0.11
20.88,-0.463862914,,,29,-0.06
21.6,-0.43010976,,,30,-0.01
22.32,-0.395752394,,,31,0.05
23.04,-0.360839638,,,32,0.1
23.76,-0.325421102,,,33,0.15
24.48,-0.289547115,,,34,0.2
25.2,-0.253268653,,,35,0.25
25.92,-0.216637268,,,36,0.3
26.64,-0.179705012,,,37,0.35
27.36,-0.142524366,,,38,0.4
28.08,-0.105148163,,,39,0.45
28.8,-0.067629513,,,40,0.5
29.52,-0.030021731,,,41,0.54
30.24,0.007621745,,,42,0.58
30.96,0.045247422,,,43,0.62
31.68,0.082801835,,,44,0.66
32.4,0.120231621,,,45,0.7
33.12,0.157483591,,,46,0.74
33.84,0.194504812,,,47,0.77
34.56,0.231242676,,,48,0.8
35.28,0.26764498,,,49,0.83
36,0.303659997,,,50,0.86
36.72,0.33923655,,,51,0.89
37.44,0.374324085,,,52,0.91
38.16,0.408872743,,,53,0.93
38.88,0.442833431,,,54,0.95
39.6,0.476157892,,,55,0.96
40.32,0.508798772,,,56,0.97
41.04,0.540709688,,,57,0.98
41.76,0.571845296,,,58,0.99
42.48,0.602161352,,,59,0.99
43.2,0.631614779,,,60,1
43.92,0.660163722,,,61,0.99
44.64,0.687767614,,,62,0.99
45.36,0.714387231,,,63,0.98
46.08,0.739984747,,,64,0.97
46.8,0.764523787,,,65,0.96
47.52,0.787969482,,,66,0.95
48.24,0.810288517,,,67,0.93
48.96,0.831449176,,,68,0.91
49.68,0.85142139,,,69,0.89
50.4,0.870176778,,,70,0.86
51.12,0.887688691,,,71,0.83
51.84,0.903932243,,,72,0.8
52.56,0.918884354,,,73,0.77
53.28,0.932523775,,,74,0.74
54,0.944831126,,,75,0.7
54.72,0.955788918,,,76,0.66
55.44,0.96538158,,,77,0.62
56.16,0.973595481,,,78,0.58
56.88,0.98041895,,,79,0.54
57.6,0.98584229,,,80,0.5
58.32,0.989857795,,,81,0.45
59.04,0.992459758,,,82,0.4
59.76,0.993644483,,,83,0.35
60.48,0.993410286,,,84,0.3
61.2,0.9917575,,,85,0.25
61.92,0.988688474,,,86,0.2
62.64,0.984207568,,,87,0.15
63.36,0.978321149,,,88,0.1
64.08,0.971037583,,,89,0.05
64.8,0.962367219,,,90,0
65.52,0.952322377,,,91,-0.06
66.24,0.940917332,,,92,-0.11
66.96,0.928168289,,,93,-0.16
67.68,0.914093365,,,94,-0.21
68.4,0.898712559,,,95,-0.26
69.12,0.882047729,,,96,-0.31
69.84,0.864122554,,,97,-0.36
70.56,0.844962506,,,98,-0.41
71.28,0.824594811,,,99,-0.46
72,0.803048411,,,100,-0.5
72.72,0.780353923,,,101,-0.55
73.44,0.756543596,,,102,-0.59
