Trend Line_x,Trend Line_y,,,series3_x,series3_y
0,-2.003830419,,,0,-2
0.72,-2.002410538,,,1,-2
1.44,-1.998152147,,,2,-1.99
2.16,-1.991061296,,,3,-1.98
2.88,-1.981148063,,,4,-1.96
3.6,-1.968426534,,,5,-1.94
4.32,-1.952914787,,,6,-1.91
5.04,-1.934634865,,,7,-1.87
5.76,-1.913612743,,,8,-1.83
6.48,-1.889878295,,,9,-1.79
7.2,-1.863465248,,,10,-1.74
7.92,-1.834411135,,,11,-1.68
8.64,-1.802757243,,,12,-1.62
9.36,-1.768548553,,,13,-1.56
10.08,-1.731833676,,,14,-1.49
10.8,-1.692664785,,,15,-1.42
11.52,-1.65109754,,,16,-1.34
12.24,-1.607191009,,,17,-1.26
12.96,-1.561007585,,,18,-1.18
13.68,-1.512612894,,,19,-1.09
14.4,-1.462075707,,,20,-1
15.12,-1.409467839,,,21,-0.91
15.84,-1.354864046,,,22,-0.82
16.56,-1.298341922,,,23,-0.72
17.28,-1.239981786,,,24,-0.62
18,-1.17986657,,,25,-0.52
18.72,-1.118081697,,,26,-0.42
19.44,-1.054714967,,,27,-0.32
20.16,-0.989856425,,,28,-0.21
20.88,-0.923598236,,,29,-0.11
21.6,-0.856034556,,,30,-0.01
22.32,-0.787261392,,,31,0.1
23.04,-0.717376474,,,32,0.2
23.76,-0.64647911,,,33,0.31
24.48,-0.574670047,,,34,0.41
25.2,-0.502051327,,,35,0.51
25.92,-0.428726143,,,36,0.61
26.64,-0.354798692,,,37,0.71
27.36,-0.280374026,,,38,0.81
28.08,-0.205557905,,,39,0.9
28.8,-0.130456645,,,40,1
29.52,-0.055176965,,,41,1.08
30.24,0.02017416,,,42,1.17
30.96,0.095489653,,,43,1.25
31.68,0.170662491,,,44,1.33
32.4,0.24558585,,,45,1.41
33.12,0.320153262,,,46,1.48
33.84,0.394258767,,,47,1.55
34.56,0.467797057,,,48,1.61
35.28,0.540663634,,,49,1.67
36,0.612754952,,,50,1.73
36.72,0.683968567,,,51,1.78
37.44,0.754203284,,,52,1.82
38.16,0.823359297,,,53,1.86
38.88,0.891338334,,,54,1.9
39.6,0.958043794,,,55,1.93
40.32,1.023380889,,,56,1.95
41.04,1.087256772,,,57,1.97
41.76,1.149580675,,,58,1.98
42.48,1.210264033,,,59,1.99
43.2,1.269220614,,,60,2
43.92,1.326366639,,,61,1.99
44.64,1.381620903,,,62,1.98
45.36,1.434904887,,,63,1.97
46.08,1.486142874,,,64,1.95
46.8,1.535262054,,,65,1.93
47.52,1.582192627,,,66,1.9
48.24,1.626867904,,,67,1.86
48.96,1.669224399,,,68,1.82
49.68,1.709201924,,,69,1.78
50.4,1.746743669,,,70,1.73
51.12,1.781796287,,,71,1.67
51.84,1.814309967,,,72,1.61
52.56,1.844238506,,,73,1.55
53.28,1.871539376,,,74,1.48
54,1.89617378,,,75,1.41
54.72,1.918106713,,,76,1.33
55.44,1.937307008,,,77,1.25
56.16,1.95374738,,,78,1.17
56.88,1.967404468,,,79,1.08
57.6,1.978258864,,,80,1
58.32,1.986295144,,,81,0.9
59.04,1.991501889,,,82,0.81
59.76,1.993871698,,,83,0.71
60.48,1.993401206,,,84,0.61
61.2,1.99009108,,,85,0.51
61.92,1.983946024,,,86,0.41
62.64,1.974974771,,,87,0.31
63.36,1.963190068,,,88,0.2
